ranking,seccion_censal,SEED_score,latitud,longitud,nombre_provincia,f_of_m,density,dependence,rent,saturation,score_demanda,score_renta,saturation_norm
21,812001001,0.7846648928679232,41.60563,2.03425,Barcelona,0.128666419844462,2.555,0.0152175049933263,72197.0,0.138771432139735,0.6354877516318416,0.9997585431669818,0.6586132491120118
22,2811502008,0.7833070707547242,40.444907,-3.794728,Madrid,0.127768401349937,0.215,0.0166326211245886,72225.0,0.146826404230381,0.6437637295772672,0.9997052927598334,0.6248751689401373
23,822101001,0.7826828893976812,41.380845,2.075945,Barcelona,0.11585739763535,0.212,0.0152175049933263,75606.0,0.138771432139735,0.6473690366677481,0.9814370888259819,0.6586132491120118
24,2807908159,0.7812462079284436,40.503261,-3.688457,Madrid,0.132683079783946,0.359,0.0166326211245886,72117.5,0.146826404230381,0.6390209507188853,0.9998887619098115,0.6248751689401373
25,820502012,0.7811284784819245,41.467767,2.072918,Barcelona,0.135201822751669,0.146,0.0152175049933263,72597.5,0.138771432139735,0.6285469442254488,0.9987259155341769,0.6586132491120118
26,3003002062,0.7802261601351057,37.99823,-1.132602,Murcia,0.139033815265313,0.048,0.0151295435058341,67861.5,0.0791552677125789,0.6243021003545394,0.9076076777752617,0.9083142924363885
27,5029702026,0.7783302670201373,41.647876,-0.883472,Zaragoza,0.093654505542458,0.079,0.0193076626697158,72205.5,0.189297589050083,0.6919674211107313,0.9997427525723841,0.4469855099423634
28,2812701007,0.7781475234095233,40.524038,-3.923727,Madrid,0.138841391877194,0.64,0.0166326211245886,72574.0,0.146826404230381,0.6331025531254584,0.998800247905116,0.6248751689401373
29,2815201009,0.7764834757843889,40.578502,-3.908634,Madrid,0.143717524377203,4.451,0.0166326211245886,72532.5,0.146826404230381,0.6292912520639624,0.9989278425364632,0.6248751689401373
30,823801012,0.7750794141561026,41.534873,2.060505,Barcelona,0.148913041428556,1.863,0.0152175049933263,72772.5,0.138771432139735,0.6156359569029919,0.998128115457386,0.6586132491120118
31,805604003,0.7741540264157192,41.272863,1.953468,Barcelona,0.13374152302501,0.912,0.0152175049933263,75860.0,0.138771432139735,0.6301533474201464,0.9794825817746287,0.6586132491120118
32,2807921005,0.7705582583176823,40.461752,-3.586156,Madrid,0.155132396946734,0.35,0.0166326211245886,71896.0,0.146826404230381,0.617194282728008,0.9977238893726452,0.6248751689401373
33,2890301009,0.7704652036394631,40.601024,-3.700965,Madrid,0.145707976712004,0.241,0.0166326211245886,74801.5,0.146826404230381,0.6263298143385765,0.9872137796152081,0.6248751689401373
34,821301004,0.7699939306082689,41.760376,1.847318,Barcelona,0.119677158429986,3.955,0.0152175049933263,78845.0,0.138771432139735,0.6445681265596583,0.9528657157240523,0.6586132491120118
